,Unnamed: 0,Track.Name,Artist.Name,Genre,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity,song_name,artist_name,merge_index,song_lyric
0,1,Señorita,Shawn Mendes,canadian pop,117,55,76,-6,8,75,191,4,3,79,señorita,shawn-mendes,shawn-mendes_señorita,"I love it when you call me Señorita
I wish I could pretend I didn't need ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you keep me coming for ya

Land in Miami
The air was hot from summer rain
Sweat drippin' off me
Before I even knew her name, la-la-la
It felt like ooh-la-la-la (Yeah, no)

Sapphire moonlight
We danced for hours in the sand
Tequila sunrise
Her body fit right in my hands, la-la-la
It felt like ooh-la-la-la, yeah

I love it when you call me Señorita
I wish I could pretend I didn't need ya
But every touch is ooh-la-la-la
...

******* This Lyrics is NOT for Commercial use *******"
1,2,China,Anuel AA,reggaeton flow,105,81,79,-4,8,61,302,8,9,92,china,anuel-aa,anuel-aa_china,"(Mi mujer me estaba llamando)
(Na-na-na-na contigo perreando)
(Ozuna)

Mi mujer me estaba llamando pero yo no contesté
Porque yo estaba contigo perreando y de ella me olvidé
Dios mío perdóname, no sé por qué yo le fallé (Fallé)
Yo estaba en la disco perreando y con ella me enredé

(Yo estaba en la disco perreando)
Yo estaba en la disco perreando
(Yo estaba en la disco perreando)
Yo estaba en la disco perreando

De la forma en que me miraba
Podía notar que yo tenía lo que en la disco buscaba
Quería que me bailara
Y el DJ que la música nunca me la bajara

Y si está prendi'a en fuego
Que no se enamore, ella está pa'l juego
Anda sola, nunca le baja su ego
Me provoca y facilito me le pego

Y es que si está prendi'a en fuego
Que no se enamore, ella está pa'l juego
Anda sola, nunca le baja su ego
Me provoca y facilito me le pego y es que-

Yo tengo un problema de alcohol, yo no sé por qué soy así (Así)
Pa' mí que el doctor estaba bebiendo el día que yo nací
Baby, pon las manos en el suelo (Suelo) y juégate con el pelo (El pelo)
Tu cuerpo es puro veneno, bebé, tú me llevas al cielo
...

******* This Lyrics is NOT for Commercial use *******"
2,3,boyfriend (with Social House),Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,boyfriend,ariana-grande,ariana-grande_boyfriend,"I'm a motherfuckin' train wreck
I don't wanna be too much
But I don't wanna miss your touch
And you don't seem to give a fuck

I don't wanna keep you waiting
But I do just what I have to do
And I might not be the one for you
But you ain't about to have no boo

'Cause I know we be so complicated
But we be so smitten, it's crazy
I can't have what I want, but neither can you

You ain't my boyfriend (boyfriend)
And I ain't your girlfriend (girlfriend)
But you don't want me to see nobody else
And I don't want you to see nobody

But you ain't my boyfriend (boyfriend)
And I ain't your girlfriend (girlfriend)
But you don't want me to touch nobody else
Baby, we ain't gotta tell nobody

Even though you ain't mine, I promise the way we fight
Make me honestly feel like we just in love
'Cause baby, when push comes to shove
...

******* This Lyrics is NOT for Commercial use *******"
3,4,Beautiful People (feat. Khalid),Ed Sheeran,pop,93,65,64,-8,8,55,198,12,19,86,beautiful-people,ed-sheeran,ed-sheeran_beautiful-people,"We are, we are, we are

L.A. on a Saturday night in the summer
Sundown and they all come out
Lamborghinis and their rented Hummers
The party's on, so they're headin' downtown ('Round here)
Everybody's lookin' for a come up
And they wanna know what you're about
Me in the middle with the one I love and
We're just tryna figure everything out

We don't fit in well 'cause we are just ourselves
I could use some help gettin' out of this conversation, yeah
You look stunnin', dear, so don't ask that question here
This is my only fear, that we become (Ay)

Beautiful people
Drop top, designer clothes
Front row at fashion shows
...

******* This Lyrics is NOT for Commercial use *******"
4,5,Goodbyes (Feat. Young Thug),Post Malone,dfw rap,150,65,58,-4,11,18,175,45,7,94,goodbyes,post-malone,post-malone_goodbyes,"Me and Kurt feel the same, too much pleasure is pain
My girl spites me in vain, all I do is complain
She needs something to change, need to take off the e-e-edge
So fuck it all tonight
And don't tell me to shut up
When you know you talk too much
But you don't got shit to say (Say)

I want you out of my head
I want you out of my bedroom tonight (Bedroom)
There's no way I could save you (Save you)
'Cause I need to be saved, too
I'm no good at goodbyes

We're both actin' insane, but too stubborn to change
Now I'm drinkin' again, 80 proof in my veins
And my fingertip stained, looking over the e-e-edge
Don't fuck with me tonight
Say you needed this heart and you got it (Got it)
...

******* This Lyrics is NOT for Commercial use *******"
5,6,I Don't Care (with Justin Bieber),Ed Sheeran,pop,102,68,80,-5,9,84,220,9,4,84,i-dont-care,ed-sheeran,ed-sheeran_i-dont-care,ERROR
6,7,Ransom,Lil Tecca,trap music,180,64,75,-6,7,23,131,2,29,92,ransom,lil-tecca,lil-tecca_ransom,"Turn you to a dancer
Yeah
Internet Money bitch

I got black, I got white, what you want?
Hop outside a Ghost and hop up in a Phantom
I know I'm 'bout to blow-oh-woah-oh, I ain't dumb
They try to take my flow, I take they ass for ransom
I know that I'm gone

They see me blowing up, now they say they want a song
I got two twin Glocks, turn you to a dancer
I see two twin opps, leave 'em on a banner
And I got two thick thots, wanna lick the gang, yeah

I got red, I got blue, what you want?
The Chanel or Balenciaga, Louis and Vuitton
She know I got the Fendi, Prada when I hit Milan
I needed me a die or rider, I need me the one
...

******* This Lyrics is NOT for Commercial use *******"
7,8,How Do You Sleep?,Sam Smith,pop,111,68,48,-5,8,35,202,15,9,90,how-do-you-sleep?,sam-smith,sam-smith_how-do-you-sleep?,"I'm done hating myself for feeling
I'm done crying myself away
I've gotta leave and start the healing
But when you move like that, I just want to stay

What have I become now?
Looking through your phone now, oh no
Love to you is just a game
Look what I have done now
Dialling up the numbers on you
I don't want my heart to break

Baby, How Do You Sleep when you lie to me?
All that shame and all that danger
I'm hoping that my love will keep you up tonight
Baby, How Do You Sleep when you lie to me?
All that fear and all that pressure
...

******* This Lyrics is NOT for Commercial use *******"
8,9,Old Town Road - Remix,Lil Nas X,country rap,136,62,88,-6,11,64,157,5,10,87,old-town-road---remix,lil-nas-x,lil-nas-x_old-town-road---remix,"Yeehaw
Oh, oh-oh
Oh (La, la, la, la)

Yeah, I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
I'm gonna take my horse to the old town road
I'm gonna ride 'til I can't no more
(Kio, Kio, woo)

I got the horses in the back
Horse tack is attached
Hat is matte black
Got the boots that's black to match (Woo)
Ridin' on a horse, ha
You can whip your Porsche
I been in the valley
You ain't been up off that porch, now

Can't nobody tell me nothin'
...

******* This Lyrics is NOT for Commercial use *******"
9,10,bad guy,Billie Eilish,electropop,135,43,70,-11,10,56,194,33,38,95,bad-guy,billie-eilish,billie-eilish_bad-guy,ERROR
